id,symbol,name,nameid,rank,price_usd,percent_change_24h,percent_change_1h,percent_change_7d,price_btc,market_cap_usd,volume24,volume24a,csupply,tsupply,msupply
90,BTC,Bitcoin,bitcoin,1,35937.64,0.06,0.14,-8.94,1.00,683847608544.02,29744710083.1362,27873686599.47245,19028727.00,19028727,21000000
80,ETH,Ethereum,ethereum,2,2681.44,-1.10,0.06,-8.11,0.074612,323433505763.90,24887027719.26062,22227519541.91157,120619123.00,120619123,
518,USDT,Tether,tether,3,0.999785,-0.36,0.00,-0.09,0.000028,73562482339.74,64031809117.91984,62434904011.76017,73578322706.00,68261274250,
2710,BNB,Binance Coin,binance-coin,4,380.67,1.99,0.61,-6.05,0.010592,63495655690.02,1095555289.5397792,1374591332.4019544,166801148.00,192443301,200000000
33285,USDC,USD Coin,usd-coin,5,1.00,0.01,0.01,0.04,0.000028,38824384620.93,8318681057.901839,7981541781.65092,38819451751.00,41140201354,
48537,LUNA,Terra,terra-luna,6,79.75,-0.24,0.24,-7.87,0.002220,31110888096.39,2103621510.2833095,1680251422.7964773,390099861.00,948798839.82726,21000000
257,ADA,Cardano,cardano,7,0.781036,-0.99,0.22,-6.44,0.000022,26018858092.49,1127549313.5049999,1361025139.5600464,33313246914.00,32025787326.655,45000000000
58,XRP,XRP,ripple,8,0.594154,1.72,0.33,-7.31,0.000017,25494892808.37,1541720253.8695552,1424725464.4715507,42909539227.00,99991841593,100000000000
48543,SOL,Solana,solana,9,81.52,-0.65,0.01,-16.45,0.002269,24905585775.20,1292020200.8213727,1282083902.4522612,305506950.00,491561409.22682,21000000
2,DOGE,Dogecoin,dogecoin,10,0.126127,-0.60,-0.19,-10.59,0.000004,16933119639.16,870661436.8114737,1072259268.2098378,134254396384.00,134254396384,
48591,BUSD,Binance USD,binance-usd,11,0.999650,-0.02,-0.03,-0.02,0.000028,13573422627.22,3963045184.8413606,24080192467.697193,13578169256.00,13578169256.12,
45219,DOT,Polkadot,polkadot,12,14.18,-0.27,-0.14,-15.95,0.000395,12732938355.07,743026174.9497844,688342319.472694,897657920.00,897657920,1000000000
44883,AVAX,Avalanche,avalanche,13,56.65,-1.46,0.06,-15.76,0.001577,12686286967.69,617658577.096962,758735121.4971614,223953589.00,381944432,720000000
45088,SHIB,Shiba Inu,shiba-inu,14,0.000020,0.33,0.14,-13.01,5.54E-10,10926959531.26,584944914.9938047,567770746.8251786,549052904455700.00,999991888299582,
33422,WBTC,Wrapped Bitcoin,wrapped-bitcoin,15,35947.70,-0.28,0.10,-8.92,1.00,9129816177.38,88764675.10175222,81292671.28608067,253975.00,263683,
48571,UST,TerraUSD,terrausd,16,0.999271,-0.02,0.00,-0.02,0.000028,7626176102.60,432001514.7454586,408309865.9191015,7631741604.00,7631741604.5617,
1,LTC,Litecoin,litecoin,17,95.32,-0.28,0.27,-7.24,0.002652,6691165580.97,754886095.0159867,749703478.2858196,70199281.00,70199281,84000000
48563,NEAR,NEAR Protocol,near-protocol,18,10.68,-2.72,0.05,-12.04,0.000297,6062576630.81,714833636.2072203,794799740.2278942,567618812.00,1000000000,1000000000
2713,TRX,TRON,tron,19,0.081290,12.86,0.03,27.17,0.000002,5825232324.23,3255706371.82858,2535761406.832704,71659657369.00,100000000000,
2321,BCH,Bitcoin Cash,bitcoin-cash,20,272.14,-0.88,0.09,-11.66,0.007572,5185031887.44,435416028.46271163,402423948.6039014,19052506.00,19052506,21000000
33833,LEO,UNUS SED LEO,unus-sed-leo,21,5.38,5.66,0.06,-5.82,0.000150,5129471757.02,4862465.29303994,5494258.605631865,953954130.00,985239504,
48547,FTT,FTX Token,ftx-token,22,35.81,-0.65,0.22,-10.36,0.000997,4993570595.74,77220865.6542541,70198291.53451434,139460202.00,334342152,352170015
2751,LINK,ChainLink,chainlink,23,10.67,-0.81,0.30,-15.32,0.000297,4980849279.43,419639044.18032056,394393619.0390871,467009553.00,1000000000,1000000000 
